"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v","Dlambda,v"
39.5949,65.0,1.55435,-0.25945,377.0,0.271149,23.7177
32.3101,62.0,1.30705,-0.17935,496.0,0.532558,13.8273
34.3889,87.0,1.42645,-0.1554,425.0,0.22066,16.7768
38.6302,122.0,1.10035,-0.32595,533.0,0.897621,24.2467
37.733,75.0,1.5435,-0.16785,427.0,0.0965827,20.8816
10.0208,94.0,0.24887,-0.068445,342.0,0.0207552,2.70651
28.8162,58.0,1.25108,-0.1848,321.0,0.0717105,11.0589
36.733,59.0,1.4442,-0.3944,415.0,0.385497,17.6571
41.3485,54.0,2.2102,-0.15315,504.0,0.0249012,26.1745
23.7777,178.0,0.457805,-0.1227,517.0,0.17215,8.28005
12.3637,100.0,0.2767,-0.0826,351.0,0.0383669,3.45941
36.3084,56.0,1.504,-0.50615,357.0,0.585548,17.2801
35.4516,140.0,0.73635,-0.33665,397.0,0.157768,18.1829
29.4405,73.0,1.00863,-0.27845,338.0,0.0054815,11.6894
37.9436,146.0,1.15034,-0.46475,579.0,0.223324,22.1681
37.688,119.0,1.32149,-0.2371,451.0,0.0610934,21.692
26.431,130.0,0.805715,-0.26295,427.0,0.0170651,9.88963
26.5786,86.0,0.79748,-0.2189,307.0,0.0952322,9.8396
19.8855,150.0,0.335295,-0.1483,358.0,0.00952004,6.39108
20.1166,109.0,0.71473,-0.1579,382.0,0.0378266,6.49332
23.3493,130.0,0.600755,-0.2025,433.0,0.0809208,8.07525
30.2004,62.0,1.15795,-0.0916,652.0,1.48063,12.0203
37.6837,97.0,1.02335,-0.32,384.0,0.255258,21.4121
36.9626,88.0,1.41005,-0.21885,667.0,1.44502,19.7827
29.1763,93.0,0.72886,-0.2792,368.0,0.00693778,11.6519
22.9512,59.0,0.81104,-0.33965,223.0,0.00326122,7.54734
25.6481,80.0,0.84735,-0.287,328.0,0.0321044,9.2433
24.2328,147.0,0.53225,-0.1219,470.0,0.123568,8.539
31.2125,82.0,1.2554,-0.4206,340.0,0.0546412,13.3708
29.1917,144.0,0.65216,-0.1268,608.0,1.04216,11.5932
36.2002,68.0,1.54664,-0.44915,419.0,0.0140401,17.954
28.6094,44.0,1.60605,-1.06785,166.0,7.49674e-05,9.93155
40.8255,102.0,1.51265,-0.21115,504.0,0.415107,29.6687
35.9275,124.0,1.17008,-0.1907,706.0,0.578667,18.9263
41.2757,58.0,1.66425,-0.19815,321.0,0.00886682,25.6779
37.2645,113.0,0.8047,-0.3552,392.0,0.107131,20.3545
22.7955,77.0,0.60254,-0.31515,281.0,0.00325195,7.65916
36.0584,179.0,0.58153,-0.2441,669.0,1.63594,18.9269
20.1248,58.0,0.892685,-0.0988,469.0,0.185863,6.33925
35.0613,134.0,0.699615,-0.41105,547.0,0.33477,17.5562
36.2305,150.0,0.705435,-0.3027,456.0,0.481769,19.2243
31.4594,92.0,0.87879,-0.2003,372.0,0.145566,13.4585
15.911,161.0,0.28809,-0.1148,407.0,0.0705784,4.73445
34.9171,166.0,0.63891,-0.13765,656.0,0.712741,17.51
29.0703,203.0,0.50915,-0.1646,491.0,0.0912987,11.7068
39.2379,73.0,1.46795,-0.1962,652.0,1.28104,24.0733
34.3778,96.0,0.99746,-0.4532,289.0,0.000787543,16.3569
31.2401,91.0,1.12911,-0.14505,411.0,0.118211,13.4325
30.2746,66.0,1.01075,-0.22195,495.0,0.251142,12.0572
39.3503,74.0,1.4939,-0.0971,693.0,0.375702,22.8275
34.2938,94.0,0.87115,-0.2167,342.0,0.0496153,16.1528
34.1932,56.0,1.7938,-0.1925,336.0,0.0567312,15.6737
35.9503,80.0,1.14463,-0.4661,319.0,0.0133926,17.9727
42.1292,55.0,1.77375,-0.17565,603.0,0.704687,27.8462
41.2954,67.0,2.1285,-0.62425,259.0,0.0118592,27.1414
33.6234,58.0,1.3871,-0.5708,224.0,3.4769e-06,14.517
33.0245,74.0,1.0702,-0.4296,224.0,2.47993e-05,14.6065
31.0849,67.0,1.1589,-0.1589,516.0,0.484811,12.9018
16.5625,54.0,0.744445,-0.30795,139.0,6.40665e-08,4.83182
35.6654,60.0,1.87468,-0.3969,312.0,0.0387723,17.285
33.6679,250.0,0.56427,-0.1669,694.0,1.62244,15.7256
32.5404,61.0,1.33315,-0.2363,380.0,0.0432369,14.0531
27.818,100.0,0.74907,-0.13665,531.0,0.451618,10.6847
29.8139,107.0,0.870895,-0.1143,619.0,0.619504,12.1367
34.5103,81.0,1.84065,-0.1776,344.0,0.0341298,16.7136
34.9829,66.0,1.82488,-0.50125,373.0,0.0168399,16.5197
31.5871,93.0,1.35777,-0.19695,357.0,0.00359433,13.7009
30.7903,96.0,0.77728,-0.25775,325.0,0.00511266,12.8531
33.8576,75.0,1.49971,-0.45,268.0,0.000491328,15.565
25.6397,66.0,1.04926,-0.17055,421.0,0.149508,9.19844
39.7395,77.0,1.4203,-0.2289,482.0,0.523995,25.1405
28.4884,207.0,0.459695,-0.12825,747.0,1.73304,10.9007
40.9881,57.0,1.83795,-0.3672,643.0,0.985575,25.6383
36.8748,82.0,1.46261,-0.323,426.0,0.261464,19.5648
41.4124,108.0,1.92371,-0.42045,586.0,0.934733,30.7314
36.6721,75.0,1.39043,-0.3895,283.0,0.000946113,19.0893
33.8731,95.0,1.03024,-0.14235,635.0,1.76049,15.6779
37.3123,44.0,2.48961,-0.34185,395.0,0.192926,19.0554
37.4229,63.0,1.75755,-0.42415,376.0,0.0210268,19.3397
32.6113,67.0,1.1434,-0.21125,334.0,0.0420296,14.1513
43.0044,54.0,1.85295,-0.3354,413.0,0.154467,27.03
37.4208,124.0,0.92245,-0.44315,553.0,0.77804,21.3259
32.7585,124.0,0.995155,-0.2234,430.0,0.423486,14.8218
18.2779,60.0,0.765185,-0.2272,208.0,0.00763249,5.57101
37.7887,87.0,2.04651,-0.21045,632.0,0.749621,21.2063
29.63,61.0,1.2416,-0.3118,289.0,0.0028001,11.6106
16.7809,60.0,0.636885,-0.1918,235.0,0.00536423,4.98368
39.5364,134.0,1.66575,-0.27205,519.0,0.303599,26.1397
38.0486,92.0,1.35033,-0.19315,518.0,0.352856,22.0579
38.2309,144.0,0.903565,-0.2845,727.0,1.68125,22.913
36.3339,75.0,1.24782,-0.4022,367.0,0.0106167,18.3124
33.2307,88.0,1.40344,-0.1139,646.0,0.876124,15.1732
34.7132,113.0,0.85447,-0.11735,604.0,1.03449,17.0135
32.5364,145.0,0.92508,-0.18955,430.0,0.290422,14.6988
42.2505,45.0,2.7016,-0.18795,445.0,0.264206,27.546
25.426,99.0,0.960405,-0.24795,262.0,0.00045353,9.21055
20.8659,97.0,0.46976,-0.1934,295.0,0.015149,6.79479
39.0625,72.0,1.53235,-0.16185,618.0,0.964571,23.3907
34.0522,52.0,1.67165,-0.12885,653.0,1.62654,15.2325
21.3613,83.0,0.60648,-0.242,238.0,0.00116874,7.00364
38.8237,180.0,0.80126,-0.1021,774.0,0.845361,24.9941
36.1651,155.0,0.71752,-0.20545,570.0,1.24724,19.0638
12.2907,63.0,0.448845,-0.201735,180.0,0.000148132,3.37636
34.8213,174.0,1.11872,-0.1988,485.0,0.472349,17.3743
