"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v"
30.9586,237.0,0.2403,-0.1155,670.0,0.590525
78.5083,171.0,1.02095,-0.41145,433.0,0.176016
127.219,198.0,1.28715,-0.68655,455.0,0.0301653
58.9555,144.0,0.78685,-0.2975,443.0,1.01425
123.187,181.0,1.43555,-0.5232,524.0,1.53833
83.8464,181.0,1.07835,-0.4116,482.0,0.182966
47.5727,177.0,0.53895,-0.1826,570.0,0.197558
38.8416,245.0,0.2822,-0.13905,651.0,0.678019
64.181,245.0,0.5278,-0.2542,617.0,0.354043
71.5023,232.0,0.5673,-0.2692,619.0,0.824803
79.0955,198.0,0.82725,-0.28605,615.0,1.13315
18.1322,207.0,0.155305,-0.0609,687.0,0.890741
53.5306,253.0,0.35775,-0.18245,756.0,1.59255
69.809,223.0,0.57365,-0.2493,633.0,1.16423
42.6119,268.0,0.29755,-0.1294,723.0,1.12437
39.9784,175.0,0.44285,-0.19935,477.0,0.398576
84.4389,277.0,0.54825,-0.2912,712.0,1.26495
55.0402,164.0,0.6567,-0.4061,340.0,0.0356671
10.8686,240.0,0.078845,-0.0351,726.0,0.425359
111.954,232.0,0.8847,-0.51315,541.0,0.282873
93.4616,171.0,1.11545,-0.40605,518.0,1.13927
75.0327,272.0,0.54255,-0.2617,702.0,0.404252
45.8026,190.0,0.45005,-0.23845,476.0,0.379576
90.8211,172.0,1.10855,-0.4691,436.0,0.163889
41.2387,220.0,0.3472,-0.16515,610.0,0.532509
77.2514,223.0,0.72765,-0.28235,626.0,0.237781
108.752,163.0,1.32675,-0.60585,431.0,0.15094
39.35,143.0,0.56415,-0.32215,287.0,0.0257521
85.7441,227.0,0.6621,-0.31605,688.0,1.15819
109.497,202.0,1.0654,-0.44495,557.0,1.90738
81.378,226.0,0.62655,-0.3318,657.0,0.67093
69.9455,177.0,0.881,-0.30865,497.0,0.62485
80.9341,219.0,0.7072,-0.3547,534.0,0.505554
97.6707,162.0,1.1756,-0.40855,540.0,1.32345
41.2631,205.0,0.35955,-0.1486,630.0,1.32206
27.7598,167.0,0.3272,-0.12645,528.0,0.168694
45.8162,161.0,0.5339,-0.2341,455.0,0.255545
54.0378,214.0,0.50005,-0.2409,542.0,1.23117
97.9801,174.0,1.10435,-0.39645,560.0,0.668672
47.7242,225.0,0.39495,-0.2637,512.0,0.0269057
114.328,180.0,1.23865,-0.5548,482.0,1.20089
26.9512,161.0,0.32675,-0.1417,469.0,0.185714
54.8697,182.0,0.60325,-0.3432,395.0,0.0391809
30.5733,142.0,0.39965,-0.15515,442.0,0.224108
72.8908,153.0,0.9392,-0.3888,424.0,0.592189
73.2598,178.0,0.8313,-0.37065,453.0,0.109411
36.1291,257.0,0.2436,-0.11755,749.0,0.840215
131.719,220.0,1.11545,-0.53765,595.0,0.376513
174.552,162.0,2.47005,-1.02545,402.0,0.220383
50.236,210.0,0.4662,-0.20375,567.0,1.33183
88.8718,224.0,0.874,-0.3822,564.0,0.443401
126.889,169.0,1.5797,-0.6756,426.0,0.337856
52.9607,164.0,0.62065,-0.2929,440.0,0.199969
41.0404,192.0,0.40725,-0.17725,527.0,0.191599
143.636,212.0,1.31185,-0.58475,584.0,1.08764
51.2214,155.0,0.65875,-0.2724,444.0,0.273175
40.8145,197.0,0.39235,-0.2251,433.0,0.0771029
53.5174,182.0,0.5557,-0.34815,388.0,0.00563159
109.077,162.0,1.37475,-0.5979,414.0,0.153985
47.3461,157.0,0.6001,-0.3045,372.0,0.0649991
105.59,219.0,0.91225,-0.4683,551.0,1.30834
37.2486,171.0,0.43015,-0.18215,470.0,0.783294
53.1922,177.0,0.54525,-0.307,462.0,0.0241142
162.222,218.0,1.57015,-0.63135,585.0,0.520581
107.528,169.0,1.3013,-0.5576,446.0,0.184143
14.0947,226.0,0.110795,-0.0555,664.0,0.213462
65.2322,199.0,0.60125,-0.3579,502.0,0.0507571
21.3995,229.0,0.16895,-0.07705,666.0,0.550219
84.0104,193.0,0.791,-0.3756,526.0,0.180642
79.7135,244.0,0.6763,-0.25425,695.0,0.777448
80.4408,245.0,0.67325,-0.2379,742.0,1.83657
40.6551,195.0,0.39335,-0.1874,516.0,0.133969
144.953,194.0,1.48475,-0.56565,565.0,1.50872
58.4447,160.0,0.7926,-0.22305,565.0,1.28215
31.4295,174.0,0.34465,-0.13905,544.0,0.504689
59.7693,238.0,0.48205,-0.2348,598.0,0.343798
13.3765,178.0,0.13641,-0.0431,726.0,0.329461
69.2243,221.0,0.61585,-0.21775,673.0,1.74508
65.8408,206.0,0.63295,-0.312,501.0,0.566699
60.8513,222.0,0.48805,-0.2502,597.0,0.311042
61.5446,126.0,1.0093,-0.5232,279.0,0.0462004
131.988,221.0,1.1461,-0.4517,659.0,1.0315
28.8398,153.0,0.3738,-0.2082,332.0,0.0653732
89.4053,203.0,0.7989,-0.4505,516.0,0.0912507
40.2074,166.0,0.46785,-0.1925,500.0,0.279336
84.1044,139.0,1.1395,-0.4918,398.0,0.110948
74.1006,186.0,0.751,-0.2888,584.0,1.77313
54.424,209.0,0.477,-0.2342,593.0,0.277274
155.896,207.0,1.641,-0.5718,597.0,1.11692
73.5709,191.0,0.7503,-0.3624,475.0,0.242152
35.7993,139.0,0.49265,-0.2123,402.0,0.25805
151.593,199.0,1.6062,-0.567,583.0,1.11663
45.6721,175.0,0.5101,-0.3138,361.0,0.0125863
76.3118,174.0,0.81115,-0.40535,474.0,0.154487
27.9435,172.0,0.32365,-0.1451,460.0,0.0902203
33.5327,179.0,0.36345,-0.184,422.0,0.356751
53.7011,256.0,0.39265,-0.1766,682.0,0.930441
51.0132,177.0,0.54735,-0.21825,527.0,1.68132
46.1944,166.0,0.5314,-0.2141,538.0,0.138219
68.3254,200.0,0.7199,-0.30645,521.0,0.426825
58.9371,127.0,0.9153,-0.3965,339.0,0.117383
22.4814,202.0,0.211835,-0.117,480.0,0.121176
108.931,257.0,0.9335,-0.49565,555.0,0.318075
31.1135,183.0,0.3319,-0.16355,465.0,0.364864
95.5974,148.0,1.3554,-0.5344,390.0,0.869294
63.9527,213.0,0.5735,-0.3086,530.0,0.143415
50.4957,166.0,0.6089,-0.2278,496.0,0.576891
109.711,236.0,0.89485,-0.45235,585.0,0.280955
63.1273,230.0,0.52495,-0.2269,654.0,0.453538
102.317,183.0,1.1814,-0.5871,414.0,0.15086
53.9083,146.0,0.7291,-0.31465,401.0,0.739565
38.9617,187.0,0.40645,-0.20855,457.0,0.0682261
53.2041,157.0,0.6574,-0.21955,538.0,1.92029
89.4017,247.0,0.6908,-0.29985,682.0,0.6974
72.7432,168.0,0.8153,-0.4568,386.0,0.0490381
75.0016,215.0,0.67815,-0.31785,555.0,0.382677
127.719,168.0,1.5143,-0.66435,439.0,1.26627
85.5199,175.0,0.99225,-0.40785,475.0,1.15103
45.6783,222.0,0.3853,-0.16405,617.0,1.74895
90.3875,185.0,1.01075,-0.49845,429.0,0.136768
79.5847,162.0,0.94715,-0.54065,382.0,0.0336955
69.5952,181.0,0.7089,-0.3484,486.0,0.103704
57.0455,249.0,0.42875,-0.2102,646.0,0.198424
60.4376,185.0,0.67025,-0.26105,512.0,0.754358
93.771,139.0,1.3896,-0.52155,405.0,0.503956
63.652,227.0,0.49525,-0.2088,715.0,1.64692
121.22,176.0,1.41275,-0.59445,454.0,0.327955
53.8106,155.0,0.67375,-0.2306,521.0,1.27361
35.3508,193.0,0.33065,-0.1235,661.0,0.785673
28.4711,137.0,0.4273,-0.23965,293.0,0.00264279
45.2449,167.0,0.54195,-0.20285,497.0,0.387847
51.4051,217.0,0.4484,-0.2082,567.0,1.62839
64.2357,201.0,0.5778,-0.2223,668.0,1.96241
62.7713,219.0,0.51555,-0.2301,686.0,0.693552
41.5929,209.0,0.3715,-0.15995,624.0,0.271164
69.5942,158.0,0.8127,-0.3225,511.0,0.529862
56.0892,201.0,0.6049,-0.1745,658.0,1.19595
120.049,151.0,1.63755,-0.69305,401.0,0.419546
36.6845,178.0,0.38635,-0.1801,495.0,0.347146
45.3683,181.0,0.49635,-0.30945,383.0,0.0418591
68.0491,181.0,0.73115,-0.2913,530.0,1.04271
42.8582,146.0,0.5581,-0.2273,437.0,0.822102
56.3425,216.0,0.47315,-0.2264,617.0,0.265327
68.1342,197.0,0.63625,-0.40975,421.0,0.100949
30.2725,166.0,0.3528,-0.14535,504.0,0.272395
16.1837,161.0,0.20654,-0.07555,532.0,0.0816005
81.8331,271.0,0.5778,-0.2424,732.0,1.72581
55.9569,108.0,0.99725,-0.47265,272.0,0.0262234
47.402,198.0,0.518,-0.14435,673.0,1.90176
148.778,148.0,2.3894,-0.8841,375.0,0.152097
109.684,169.0,1.35035,-0.5749,432.0,0.187612
128.819,204.0,1.2565,-0.58845,516.0,0.456492
14.7872,106.0,0.295515,-0.16014,221.0,0.00960699
108.578,175.0,1.21135,-0.47765,516.0,1.43002
160.779,155.0,2.50115,-0.9986,408.0,0.477858
48.4689,234.0,0.3795,-0.19145,616.0,0.222527
150.525,261.0,1.06355,-0.52235,700.0,1.57726
47.2111,148.0,0.64825,-0.22505,492.0,0.357145
43.0016,202.0,0.4143,-0.1486,622.0,1.9564
74.7138,260.0,0.5882,-0.27785,627.0,0.396959
108.163,175.0,1.30675,-0.6477,398.0,0.0531126
21.5703,147.0,0.27744,-0.18105,310.0,0.00836948
44.5415,202.0,0.407,-0.19045,602.0,0.171503
14.4602,180.0,0.15143,-0.0432,724.0,0.601264
82.0093,227.0,0.6889,-0.3382,581.0,0.348714
131.288,131.0,2.02255,-0.82225,366.0,0.41967
63.4994,176.0,0.7133,-0.2821,495.0,1.8056
90.0198,233.0,0.72875,-0.34995,609.0,1.0504
18.4343,187.0,0.183245,-0.0775,646.0,0.198638
23.8512,202.0,0.22092,-0.0948,607.0,0.374654
64.0416,178.0,0.7464,-0.2977,475.0,0.633341
115.024,224.0,0.9674,-0.3863,671.0,1.27032
22.6229,172.0,0.254025,-0.1371,406.0,0.0408769
51.1242,136.0,0.73315,-0.2821,401.0,1.20316
11.2164,172.0,0.126775,-0.05731,481.0,0.0777641
18.0547,129.0,0.286375,-0.0854,404.0,0.176247
44.4426,144.0,0.572,-0.2471,429.0,0.121633
32.742,214.0,0.28435,-0.10305,712.0,1.0381
58.6269,137.0,0.8799,-0.3709,358.0,0.221307
21.5677,165.0,0.257345,-0.1124,483.0,0.0492821
38.8392,155.0,0.48605,-0.27815,332.0,0.0557376
30.3006,167.0,0.3448,-0.12795,538.0,1.37351
83.136,161.0,0.966,-0.49445,407.0,0.12972
65.1252,170.0,0.72005,-0.3298,463.0,0.189491
133.843,200.0,1.3029,-0.58775,549.0,0.580712
160.365,150.0,2.69075,-0.65565,512.0,0.716473
162.957,235.0,1.64925,-0.51485,682.0,1.85989
83.9146,172.0,0.91905,-0.51895,403.0,0.0654965
36.2095,209.0,0.32105,-0.12335,686.0,0.439237
74.1121,258.0,0.53515,-0.23905,708.0,1.01542
22.126,188.0,0.230375,-0.1201,466.0,0.0514048
10.8823,163.0,0.13076,-0.046895,551.0,0.20596
69.6298,137.0,0.99085,-0.43425,376.0,0.233991
10.5937,140.0,0.14469,-0.052295,507.0,0.662726
28.4964,167.0,0.3265,-0.1818,376.0,0.0380185
61.1912,185.0,0.6804,-0.25075,547.0,1.11903
25.4549,178.0,0.263175,-0.09815,595.0,0.911622
19.6992,194.0,0.171425,-0.06445,667.0,1.28774
30.2689,252.0,0.2218,-0.1242,641.0,0.921348
73.113,278.0,0.5205,-0.28045,636.0,0.179564
79.8193,163.0,0.97755,-0.5786,337.0,0.0535815
128.428,237.0,1.0367,-0.5216,598.0,0.25727
63.5618,211.0,0.5707,-0.31585,492.0,0.242202
23.6071,232.0,0.188945,-0.09735,581.0,0.575738
34.7036,144.0,0.45735,-0.2704,312.0,0.0142576
63.1272,185.0,0.6357,-0.3758,452.0,0.0583106
85.2807,162.0,1.00775,-0.412,472.0,1.15026
89.5035,236.0,0.76615,-0.3505,618.0,0.306755
54.9043,301.0,0.3281,-0.15565,785.0,1.61614
21.1381,200.0,0.193795,-0.0879,568.0,0.50715
22.0788,163.0,0.253155,-0.06755,745.0,0.812452
30.0754,151.0,0.39275,-0.13625,523.0,1.07457
10.2666,221.0,0.079665,-0.02647,795.0,0.781433
28.3558,143.0,0.3844,-0.20985,349.0,0.00926102
46.8581,221.0,0.377,-0.1494,744.0,1.08299
47.076,208.0,0.4229,-0.21385,581.0,0.168169
27.5019,163.0,0.3025,-0.1427,491.0,0.0827551
48.6189,174.0,0.55535,-0.2406,461.0,0.278347
82.281,167.0,0.9941,-0.36005,507.0,0.853643
62.8247,206.0,0.5321,-0.229,668.0,1.33981
