PCa,Jup,[TRPN],Gncx,"INaCa,SS",CaMKo,[BSL],aCaMK,bCaMK,"tau,diffCa","Tref,v","TRPN50,v","nTm,v","nTRPN,v","kTRPN,v","rs,v","rw,v","Aeff,v","ku,v","beta1,v","beta0,v","gamma,s,v","gamma,w,v","phi,v","ca50,v","nu,v","mu,v"
8.05923e-05,1.01104,0.0999443,0.0015221,0.365236,0.0528239,1.16881,0.0271683,0.000466684,0.104575,120.344,0.192672,2.7216,1.98995,0.0582877,0.23895,0.53138,17.8043,0.030011,-2.33508,2.72796,0.0121505,0.85726,2.37076,0.65615,7.57668,3.13623
9.90393e-05,1.23605,0.098614,0.00109372,0.651608,0.0464165,0.634045,0.0507944,0.000849962,0.114928,66.2343,0.230787,1.86495,2.35514,0.134222,0.340288,0.633584,35.0225,0.0265126,-2.54272,1.85118,0.00670118,0.616664,1.4087,1.07838,4.21329,3.29434
0.000114242,1.10283,0.0970931,0.00105388,0.541054,0.0504962,1.46552,0.0331563,0.00101295,0.281895,121.139,0.367187,2.75256,2.8619,0.127188,0.358962,0.693652,14.2527,0.0170902,-3.08057,2.47834,0.00568559,0.412913,2.05044,1.14155,7.38406,3.36003
0.000102244,0.768198,0.0993547,0.00112597,0.337062,0.051251,1.25594,0.0671237,0.000828,0.207826,140.984,0.406168,2.14178,2.59949,0.149867,0.331282,0.331497,32.603,0.0166397,-2.99774,2.29752,0.00608024,0.457936,3.05349,0.655688,9.41644,3.00543
0.000139686,0.887093,0.0846281,0.00215034,0.277687,0.029702,1.25676,0.0533396,0.000623078,0.295369,61.3283,0.515299,1.75631,2.34313,0.0721237,0.328328,0.534652,35.5377,0.0105967,-1.67145,1.89476,0.0111508,0.440549,1.38155,0.636009,3.56064,2.08741
5.88956e-05,0.861656,0.0527526,0.000923687,0.564496,0.0546803,1.25073,0.037822,0.000690513,0.122229,79.3718,0.378871,1.85153,2.81331,0.0854692,0.192552,0.393898,26.685,0.0287597,-2.40305,2.76397,0.00608888,0.90876,2.67971,0.542652,6.17181,3.6221
0.00013947,1.00409,0.0946084,0.00214049,0.487581,0.0378404,0.957759,0.0605822,0.000818232,0.204217,123.514,0.189454,2.41294,2.30589,0.124328,0.230967,0.418886,28.1494,0.0218662,-3.27952,2.98385,0.010166,0.813716,2.9375,0.719917,7.75525,3.59281
0.000117869,0.702928,0.091305,0.00120668,0.712221,0.069689,0.792729,0.0449797,0.000730234,0.253542,76.2842,0.517628,2.05861,2.29172,0.0701711,0.306644,0.476856,35.3704,0.027764,-1.22554,2.83386,0.0119935,0.538908,3.0257,0.883446,5.84952,3.79508
4.20269e-05,1.07444,0.0486841,0.0012848,0.561634,0.0301479,1.4063,0.0259882,0.000702068,0.109105,91.9135,0.323915,2.09752,2.44913,0.0834393,0.278044,0.634091,20.0311,0.0193726,-2.61932,1.35558,0.0104949,0.884191,1.37711,0.724592,6.35371,1.63422
0.000113081,0.859,0.0847098,0.00176224,0.320523,0.0643353,1.26785,0.0631814,0.000769187,0.200437,62.3407,0.274752,1.48609,2.53327,0.0916295,0.287206,0.598215,22.7153,0.0259411,-2.74676,2.71519,0.00445822,0.709144,3.0718,0.840084,6.08717,2.14599
