"Tpeak,a","TTP,t,a","dT/dtMax,a","dT/dtMax,a","Tdur,a","Trest,a"
138.958,132.0,2.65745,-0.7302,461.0,1.02113
86.0194,52.0,5.7001,-0.32975,551.0,0.623233
26.5431,77.0,0.79863,-0.1576,332.0,0.0817624
121.831,44.0,8.05175,-1.66795,135.0,0.000357212
106.219,81.0,3.4107,-0.4256,448.0,0.826531
84.6113,70.0,3.2349,-0.46745,296.0,0.316964
134.553,58.0,6.2943,-0.70155,324.0,0.463676
112.84,143.0,2.05355,-0.51455,563.0,0.380759
49.3716,91.0,1.2266,-0.31505,311.0,0.0595093
52.3272,67.0,2.0816,-0.2289,358.0,0.293373
102.074,65.0,5.5263,-0.76095,316.0,0.00395848
53.3532,127.0,0.9919,-0.24215,543.0,0.605715
139.305,91.0,4.89845,-0.9508,313.0,0.0159387
66.1383,70.0,2.567,-0.3758,306.0,0.0137835
40.8034,69.0,1.4279,-0.3235,254.0,0.0109559
90.5829,102.0,2.50655,-0.7204,294.0,0.00219379
10.7033,49.0,0.561535,-0.214225,125.0,0.000130139
90.3165,67.0,3.43255,-0.43885,322.0,0.39918
64.1864,72.0,2.01095,-0.6525,235.0,0.138694
68.3186,67.0,2.4575,-0.93285,161.0,0.000247158
36.3299,111.0,0.828385,-0.1774,421.0,0.0814894
69.3414,76.0,2.4315,-0.31925,355.0,0.0500178
118.851,72.0,5.5538,-0.40795,528.0,0.421141
126.278,96.0,3.60125,-0.5804,417.0,0.43993
165.958,154.0,3.57805,-1.0758,449.0,0.209112
92.1748,51.0,5.14695,-0.5636,273.0,0.144026
27.5701,69.0,0.93595,-0.3254,221.0,0.00254047
40.4188,68.0,1.44865,-0.3686,221.0,0.000979072
27.8839,80.0,0.850125,-0.2443,241.0,6.73781e-06
60.5101,115.0,2.37495,-0.23365,710.0,1.41638
163.742,107.0,6.14395,-0.58,692.0,1.90596
97.5645,142.0,1.9683,-0.376,553.0,0.557766
45.6777,77.0,1.7436,-0.26535,343.0,0.0214633
92.8278,77.0,3.53665,-0.6581,341.0,0.0449162
60.9242,65.0,2.45335,-0.29155,354.0,0.133192
98.4184,48.0,5.80415,-0.43255,350.0,0.171747
39.8196,59.0,1.85715,-0.2164,314.0,0.0595564
57.6173,86.0,1.85925,-0.1796,641.0,1.9753
70.0378,61.0,3.07095,-0.31125,352.0,0.12801
47.6969,73.0,1.59315,-0.30415,291.0,0.0415629
100.804,149.0,2.86845,-0.3459,675.0,1.29636
130.011,76.0,4.58305,-0.5592,406.0,1.26504
143.546,107.0,4.4505,-0.67615,467.0,0.141455
120.78,82.0,4.1919,-0.83325,317.0,0.182815
126.347,72.0,4.7982,-0.8126,256.0,0.0161378
104.62,87.0,4.458,-0.75225,403.0,0.0822635
